sp_id	gq_type	stcotrbg	persons	latitude	longitude
450003435	C	421010003001	108	39.9570780	-75.1721050
450003436	C	421010077001	171	39.9465521	-75.2082413
450003437	C	421010087021	42	39.9550980	-75.2074896
450003438	C	421010369001	822	39.9510019	-75.1936179
450003439	C	421010375001	299	39.9894833	-75.2479870
450003440	C	421010117001	867	39.9944422	-75.2383426
450003441	C	421010208002	113	40.0216409	-75.1927081
450003442	C	421010352001	171	40.0604140	-74.9903650
450003564	C	421010006001	655	39.9490625	-75.1581473
450003565	C	421010012024	112	39.9460168	-75.1658878
450003566	C	421010153001	793	39.9809427	-75.1582667
450003567	C	421010387002	459	40.0870480	-75.2288467
450003568	C	421010256002	66	40.0616361	-75.1914963
450003569	C	421010279022	1659	40.0385029	-75.1529956
450003924	C	421010369003	2760	39.9548550	-75.1887447
450004696	C	421010002001	123	39.9553999	-75.1569775
450004697	C	421010003002	66	39.9576690	-75.1757629
450004698	C	421010009022	622	39.9474028	-75.1584406
450004699	C	421010011014	336	39.9457537	-75.1628421
450004700	C	421010011022	17	39.9449700	-75.1581611
450004701	C	421010012022	129	39.9452497	-75.1698554
450004702	C	421010369002	1995	39.9464896	-75.1974809
450004703	C	421010077002	365	39.9445468	-75.2078658
450004704	C	421010088011	483	39.9527969	-75.1986893
450004705	C	421010088021	49	39.9498405	-75.2039782
450004706	C	421010088024	239	39.9518465	-75.2041525
450004707	C	421010088023	2573	39.9531432	-75.2014385
450004708	C	421010090003	253	39.9602585	-75.1887399
450004709	C	421010090004	1013	39.9572985	-75.1914596
450004710	C	421010090002	1329	39.9597606	-75.1914912
450004711	C	421010120002	460	39.9965784	-75.2302799
450004712	C	421010145001	734	39.9775286	-75.1484625
450004713	C	421010146001	1675	39.9771649	-75.1567518
450004714	C	421010147002	1256	39.9782460	-75.1596480
450004715	C	421019800001	372	39.9850473	-75.2002069
450004716	C	421010377001	1427	39.9831378	-75.1536135
450004717	C	421010206001	112	40.0190201	-75.1825324
450004718	C	421010207004	16	40.0107319	-75.1976181
450004719	C	421010207001	517	40.0157234	-75.1935807
450004720	C	421010208001	77	40.0253059	-75.1879431
450004721	C	421010385002	51	40.0747756	-75.2117883
450004722	C	421010247002	71	40.0420879	-75.1614416
450004723	C	421010279021	5	40.0415046	-75.1522543
450008479	P	421010005001	864	39.9525872	-75.1520247
450008480	P	421019891001	1142	40.0330763	-75.0153468
450008481	P	421019891001	1142	40.0346756	-75.0135815
450008482	P	421019891001	1139	40.0296886	-75.0197979
450008483	P	421019891001	1140	40.0307904	-75.0189006
450008484	P	421019891001	1140	40.0293636	-75.0171149
450008485	P	421019891001	1141	40.0297943	-75.0159993
450022196	P	421010005001	134	39.9519534	-75.1581776
450022197	P	421010025001	2	39.9346329	-75.1489044
450022198	P	421010025001	5	39.9346329	-75.1489044
450022199	P	421010063004	17	39.9196434	-75.2420076
450022200	P	421010072001	18	39.9423235	-75.2343355
450022201	P	421010369002	129	39.9464896	-75.1974809
450022202	P	421010087021	3	39.9550254	-75.2068001
450022203	P	421010087021	8	39.9550254	-75.2068001
450022204	P	421010104004	9	39.9623363	-75.2180362
450022205	P	421010110003	7	39.9743352	-75.2073541
450022206	P	421010119004	6	39.9905175	-75.2297350
450022207	P	421010120002	6	39.9965784	-75.2302799
450022208	P	421010376001	41	39.9595828	-75.1517458
450022209	P	421019800001	43	39.9850473	-75.2002069
450022210	P	421019800001	47	39.9850473	-75.2002069
450022211	P	421010151012	14	39.9884672	-75.1854224
450022212	P	421010151012	3	39.9884672	-75.1854224
450022213	P	421010157001	30	39.9806674	-75.1372958
450022214	P	421010163001	18	39.9893194	-75.1290888
450022215	P	421010166002	62	39.9876860	-75.1548316
450022216	P	421010169011	38	39.9947971	-75.1734841
450022217	P	421010170003	195	40.0070591	-75.1809998
450022218	P	421010170003	59	40.0070591	-75.1809998
450022219	P	421010173002	191	39.9985829	-75.1603785
450022220	P	421010174001	39	39.9963476	-75.1486962
450022221	P	421010174001	22	39.9963476	-75.1486962
450022222	P	421010175004	1	39.9950358	-75.1444661
450022223	P	421010175004	25	39.9950358	-75.1444661
450022224	P	421010178002	13	39.9922653	-75.1119617
450022225	P	421010178002	1	39.9922653	-75.1119617
450022226	P	421010188002	16	39.9975515	-75.1023594
450022227	P	421010383001	1078	40.0101848	-75.1237972
450022228	P	421010383001	14	40.0101848	-75.1237972
450022229	P	421010201012	15	40.0009629	-75.1538985
450022230	P	421010202001	7	40.0043666	-75.1620870
450022231	P	421010202001	17	40.0043666	-75.1620870
450022232	P	421010202006	35	40.0076205	-75.1631590
450022233	P	421010209001	6	40.0204913	-75.2090054
450022234	P	421010209001	16	40.0204913	-75.2090054
450022235	P	421010210004	3	40.0224946	-75.2180315
450022236	P	421010385002	3	40.0747756	-75.2117883
450022237	P	421010385002	2	40.0747756	-75.2117883
450022238	P	421010237002	3	40.0531960	-75.1898160
450022239	P	421010237002	22	40.0531960	-75.1898160
450022240	P	421010240002	9	40.0298952	-75.1791639
450022241	P	421010242004	7	40.0261638	-75.1694702
450022242	P	421010242004	22	40.0261638	-75.1694702
450022243	P	421010242002	1	40.0280178	-75.1726189
450022244	P	421010242002	10	40.0280178	-75.1726189
450022245	P	421010245002	18	40.0306585	-75.1601493
450022246	P	421010247005	1	40.0407896	-75.1690887
450022247	P	421010247005	9	40.0407896	-75.1690887
450022248	P	421010252001	21	40.0443588	-75.1740473
450022249	P	421010254001	3	40.0599996	-75.1716441
450022250	P	421010293002	4	40.0111761	-75.0916281
450022251	P	421010293002	12	40.0111761	-75.0916281
450022252	P	421019891001	696	40.0343480	-75.0057811
450022253	P	421010342002	30	40.0844394	-75.0774140
450022254	P	421010348013	15	40.0488277	-75.0145700
450022255	P	421010348021	2	40.0665219	-75.0167697
450022256	P	421010362011	3	40.0791653	-74.9831755
450022257	P	421010362011	2	40.0791653	-74.9831755
450022258	P	421010362011	8	40.0791653	-74.9831755
450030736	N	421010081023	1	39.9537050	-75.2364050
450030737	N	421010105002	348	39.9731594	-75.2128657
450030738	N	421010121002	358	39.9932962	-75.2211507
450030739	N	421010122042	96	40.0069726	-75.2137494
450030740	N	421010122042	96	39.9958500	-75.2184053
450030741	N	421010122042	95	39.9990402	-75.2193023
450030742	N	421010122042	94	40.0019916	-75.2113112
450030743	N	421010139003	446	39.9730173	-75.1711812
450030744	N	421010387002	87	40.0834132	-75.2075664
450030745	N	421010238004	21	40.0387052	-75.1840567
450030746	N	421010268001	80	40.0628270	-75.1398140
450030747	N	421010269002	84	40.0550660	-75.1349198
