sp_id	sp_gq_id	age	sex
938403113	450004696	19	F
938403112	450004696	19	F
938403111	450004696	22	F
938403110	450004696	21	F
938403109	450004696	20	F
938403108	450004696	21	F
938403107	450004696	25	F
938403106	450004696	18	F
938403105	450004696	24	F
938403041	450004696	23	M
938403040	450004696	19	M
938403039	450004696	21	M
938403038	450004696	19	M
938403050	450004696	27	M
938403051	450004696	19	M
938403052	450004696	21	M
938403053	450004696	20	M
938403054	450004696	21	M
938403024	450004696	18	M
938403022	450004696	18	M
938403023	450004696	19	M
938403021	450004696	19	M
938403020	450004696	20	M
938403019	450004696	19	M
938403018	450004696	23	M
938403017	450004696	21	M
938403016	450004696	23	M
938403015	450004696	20	M
938403089	450004696	18	F
938403090	450004696	19	F
938403055	450004696	18	M
938403056	450004696	18	M
938403057	450004696	24	M
938403058	450004696	24	M
938403059	450004696	24	M
938403060	450004696	19	M
938403061	450004696	20	M
938403062	450004696	24	M
938403063	450004696	22	M
938403064	450004696	18	M
938403065	450004696	19	M
938403066	450004696	20	M
938403067	450004696	25	M
938403068	450004696	19	M
938403069	450004696	23	M
938403070	450004696	19	M
938403071	450004696	22	M
938403072	450004696	26	M
938403073	450004696	19	M
938403074	450004696	18	M
938403075	450004696	20	M
938403076	450004696	21	M
938403077	450004696	19	M
938403078	450004696	18	M
938403079	450004696	20	M
938403080	450004696	19	M
938403081	450004696	20	M
938403082	450004696	19	F
938403083	450004696	19	F
938403084	450004696	19	F
938403085	450004696	24	F
938403086	450004696	23	F
938403087	450004696	19	F
938403088	450004696	18	F
938403037	450004696	21	M
938403014	450004696	23	M
938403049	450004696	19	M
938403048	450004696	27	M
938403047	450004696	19	M
938403046	450004696	19	M
938403129	450004696	24	F
938403128	450004696	21	F
938403045	450004696	22	M
938403044	450004696	27	M
938403091	450004696	23	F
938403092	450004696	18	F
938403093	450004696	22	F
938403094	450004696	20	F
938403095	450004696	18	F
938403096	450004696	21	F
938403097	450004696	22	F
938403098	450004696	24	F
938403099	450004696	21	F
938403100	450004696	19	F
938403101	450004696	18	F
938403102	450004696	18	F
938403104	450004696	18	F
938403103	450004696	19	F
938403043	450004696	22	M
938403042	450004696	20	M
938403007	450004696	20	M
938403008	450004696	22	M
938403009	450004696	19	M
938403010	450004696	21	M
938403011	450004696	20	M
938403012	450004696	22	M
938403013	450004696	18	M
938403036	450004696	29	M
938403035	450004696	24	M
938403034	450004696	19	M
938403033	450004696	22	M
938403032	450004696	21	M
938403031	450004696	18	M
938403030	450004696	21	M
938403029	450004696	19	M
938403028	450004696	22	M
938403027	450004696	19	M
938403026	450004696	23	M
938403025	450004696	22	M
938403127	450004696	22	F
938403126	450004696	19	F
938403125	450004696	20	F
938403124	450004696	22	F
938403123	450004696	19	F
938403122	450004696	22	F
938403121	450004696	19	F
938403120	450004696	20	F
938403119	450004696	18	F
938403118	450004696	18	F
938403117	450004696	19	F
938403116	450004696	26	F
938403115	450004696	19	F
938403114	450004696	21	F
938404661	450003435	19	F
938404667	450003435	23	F
938404668	450003435	18	F
938404669	450003435	19	F
938404670	450003435	19	F
938404671	450003435	19	F
938404672	450003435	19	F
938404673	450003435	23	F
938404674	450003435	19	F
938404675	450003435	24	F
938404676	450003435	19	F
938404677	450003435	20	F
938404678	450003435	18	F
938404755	450003435	20	F
938404754	450003435	19	F
938404679	450003435	20	F
938404680	450003435	23	F
938404681	450003435	19	F
938404682	450003435	21	F
938404683	450003435	19	F
938404684	450003435	19	F
938404685	450003435	20	F
938404686	450003435	20	F
938404687	450003435	22	F
938404753	450003435	49	F
938404752	450003435	22	F
938404751	450003435	23	F
938404750	450003435	23	F
938404749	450003435	21	F
938404748	450003435	19	F
938404747	450003435	21	F
938404746	450003435	18	F
938404745	450003435	21	F
938404744	450003435	27	F
938404743	450003435	20	F
938404742	450003435	28	F
938404741	450003435	18	F
938404740	450003435	19	F
938404739	450003435	19	F
938404738	450003435	18	F
938404737	450003435	23	F
938404736	450003435	19	F
938404735	450003435	18	F
938404734	450003435	22	F
938404733	450003435	19	F
938404732	450003435	19	F
938404731	450003435	20	F
938404730	450003435	21	F
938404729	450003435	19	F
938404728	450003435	20	F
938404727	450003435	28	F
938404726	450003435	22	F
938404725	450003435	23	F
938404724	450003435	23	F
938404723	450003435	19	F
938404722	450003435	23	F
938404721	450003435	23	F
938404720	450003435	18	F
938404719	450003435	18	F
938404718	450003435	22	F
938404717	450003435	21	F
938404716	450003435	18	F
938404715	450003435	19	F
938404714	450003435	22	F
938404713	450003435	21	F
938404712	450003435	18	F
938404711	450003435	19	F
938404710	450003435	39	F
938404709	450003435	19	F
938404708	450003435	19	F
938404707	450003435	21	F
938404706	450003435	20	F
938404705	450003435	23	F
938404704	450003435	33	F
938404703	450003435	20	F
938404702	450003435	22	F
938404701	450003435	24	F
938404700	450003435	19	F
938404653	450003435	29	M
938404654	450003435	18	M
938404655	450003435	19	F
938404656	450003435	20	F
938404657	450003435	23	F
938404658	450003435	18	F
938404659	450003435	22	F
938404660	450003435	22	F
938404662	450003435	18	F
938404663	450003435	20	F
938404664	450003435	19	F
938404665	450003435	18	F
938404688	450003435	18	F
938404689	450003435	19	F
938404690	450003435	20	F
938404691	450003435	21	F
938404692	450003435	19	F
938404693	450003435	18	F
938404694	450003435	19	F
938404695	450003435	19	F
938404696	450003435	20	F
938404697	450003435	19	F
938404698	450003435	23	F
938404699	450003435	19	F
938404666	450003435	21	F
938404756	450003435	19	F
938404757	450003435	18	F
938404758	450003435	18	F
938404759	450003435	18	F
938404760	450003435	20	F
938408968	450004697	19	F
938408969	450004697	20	F
938408970	450004697	29	F
938408971	450004697	24	F
938408972	450004697	21	F
938408973	450004697	18	F
938408974	450004697	18	F
938408977	450004697	51	F
938408978	450004697	19	F
938408979	450004697	24	F
938408980	450004697	24	F
938408981	450004697	19	F
938408982	450004697	18	F
938408987	450004697	19	F
938408986	450004697	21	F
938408983	450004697	18	F
938408985	450004697	20	F
938408984	450004697	19	F
938409003	450004697	20	F
938409002	450004697	18	F
938409001	450004697	21	F
938409000	450004697	18	F
938408999	450004697	23	F
938408998	450004697	23	F
938408997	450004697	19	F
938408996	450004697	19	F
938408995	450004697	19	F
