Susceptible,Exposed,Infectious,Recovered
99,0,1,0
99,0,1,0
99,0,1,0
98,1,1,0
98,1,1,0
98,1,1,0
97,2,1,0
97,2,1,0
97,2,1,0
97,2,1,0
97,2,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
96,3,1,0
95,4,1,0
95,4,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,5,1,0
94,4,2,0
94,4,2,0
94,4,2,0
94,3,3,0
94,3,3,0
94,3,3,0
94,3,3,0
94,3,3,0
94,2,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
93,3,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
92,4,4,0
91,5,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
90,6,4,0
89,7,4,0
89,7,4,0
89,7,4,0
89,7,4,0
89,7,4,0
89,7,4,0
89,6,5,0
89,6,5,0
89,5,6,0
88,6,6,0
88,6,6,0
87,7,6,0
87,7,6,0
